state_name,cohort_mean
"Alaska",.873
"Alabama",.92
"Arkansas",.921
"Arizona",.885
"California",.891
"West Virginia",.92
"Connecticut",.923
"District of Columbia",.863
"Delaware",.916
"Florida",.905
"Georgia",.921
"Hawaii",.944
"Iowa",.948
"Idaho",.946
"Illinois",.924
"Indiana",.943
"Kansas",.936
"Kentucky",.919
"Louisiana",.887
"Massachusetts",.914
"Oklahoma",.908
"Maine",.932
"Michigan",.933
"Minnesota",.943
"Missouri",.938
"Mississippi",.907
"Montana",.915
"North Carolina",.928
"North Dakota",.937
"Nebraska",.945
"New Hampshire",.93
"New Jersey",.899
"New Mexico",.895
"Nevada",.891
"New York",.9
"Ohio",.93
"Maryland",.938
"Oregon",.92
"Pennsylvania",.926
"Rhode Island",.908
"South Carolina",.911
"South Dakota",.929
"Tennessee",.923
"Texas",.913
"Utah",.937
"Virginia",.906
"Vermont",.918
"Washington",.919
"Wisconsin",.944
"Colorado",.93
"Wyoming",.914
