"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.64424,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",101.3391,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",128.4397,
"CAN","GGDEBT","TOT","PC_GDP","A","2016",114.127,
"CZE","GGDEBT","TOT","PC_GDP","A","2016",47.68877,
"DNK","GGDEBT","TOT","PC_GDP","A","2016",52.60029,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.44318,
"FRA","GGDEBT","TOT","PC_GDP","A","2016",125.4641,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",76.01376,
"GRC","GGDEBT","TOT","PC_GDP","A","2016",185.7925,
"HUN","GGDEBT","TOT","PC_GDP","A","2016",97.13194,
"IRL","GGDEBT","TOT","PC_GDP","A","2016",84.13502,
"ITA","GGDEBT","TOT","PC_GDP","A","2016",154.9009,
"JPN","GGDEBT","TOT","PC_GDP","A","2016",234.5488,
"LUX","GGDEBT","TOT","PC_GDP","A","2016",27.73762,
"MEX","GGDEBT","TOT","PC_GDP","A","2016",51.79043,
"NLD","GGDEBT","TOT","PC_GDP","A","2016",76.73621,
"NOR","GGDEBT","TOT","PC_GDP","A","2016",42.25431,
"POL","GGDEBT","TOT","PC_GDP","A","2016",72.48204,
"PRT","GGDEBT","TOT","PC_GDP","A","2016",145.3244,
"SVK","GGDEBT","TOT","PC_GDP","A","2016",59.76851,
"ESP","GGDEBT","TOT","PC_GDP","A","2016",116.5159,
"SWE","GGDEBT","TOT","PC_GDP","A","2016",60.33341,
"CHE","GGDEBT","TOT","PC_GDP","A","2016",42.46273,
"TUR","GGDEBT","TOT","PC_GDP","A","2016",34.5914,
"GBR","GGDEBT","TOT","PC_GDP","A","2016",119.3808,
"USA","GGDEBT","TOT","PC_GDP","A","2016",138.5057,
"CHL","GGDEBT","TOT","PC_GDP","A","2016",28.08035,
"EST","GGDEBT","TOT","PC_GDP","A","2016",12.73184,
"ISR","GGDEBT","TOT","PC_GDP","A","2016",75.2401,
"SVN","GGDEBT","TOT","PC_GDP","A","2016",97.1816,
"LVA","GGDEBT","TOT","PC_GDP","A","2016",49.09,
"COL","GGDEBT","TOT","PC_GDP","A","2016",73.78906,
"LTU","GGDEBT","TOT","PC_GDP","A","2016",51.7319,
