Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NAICS 523 Financial Investment & Related Activity,0.305124321072865,0.30537465731508,0.246306293825008,0.229064992891058,0.278530069882492,0.29979629103174,0.353294047071133,0.408482976864503,0.385679568604624,0.280420760728405,0.319583296348349,0.313645635877449,0.294410329698769,0.279472096294709,0.311298194709567,0.2831970042242,0.267078052056367,0.295813518797501
NAICS 541 Professional and Technical Services,0.035536456241967,0.034098317595453,0.03722286326977,0.038824684533081,0.036977218245709,0.03798839828567,0.033144250125226,0.029570845200934,0.034362790698533,0.043750838722392,0.041266668850014,0.043311939456473,0.046260923929333,0.048415137169267,0.047981564112069,0.051512277738265,0.0555311496379,0.050846792207811
NAICS 522 Credit Intermediation & Related Activity,0.028942003947033,0.030205325115476,0.027362287266409,0.028415012146272,0.029142166388439,0.027210116426789,0.034817467097363,0.037904442251638,0.032636447208314,0.030889534571001,0.032885726390348,0.038967977587144,0.036684566318704,0.041263745528637,0.04114618502469,0.0399439696295,0.037337155231626,0.039294698657767
NAICS 551 Management of Companies and Enterprises,0.03300857230958,0.030620368227625,0.041287896832061,0.032921957255698,0.03098102779803,0.030946172402293,0.0291024468749,0.031223462338893,0.02899446175102,0.025415507655879,0.03543891650971,0.034847547990029,0.034853671270556,0.033455988974201,0.031160971639554,0.030103737747576,0.025003012905805,0.024901073849692
NAICS 524 Insurance Carriers & Related Activities,0.010052524982,0.012443133320616,0.012417419616229,0.013696973575298,0.014247633441762,0.014349020934494,0.012482253127509,0.01226632474171,0.01213126055893,0.014720593548326,0.013007041567352,0.014279720438177,0.015330985447422,0.015703592863711,0.015506314766786,0.015192746391214,0.015515699603304,0.014136563966859
NAICS 519 Other Information Services,-0.000825814216345,-0.000852858057277,-0.000803191431754,-0.000727023389469,-0.000425529140074,-0.000486579494511,-0.000453825067097,-9.41E-05,0.000275075378674,0.000640757708294,0.00197821235415,0.002919127489984,0.003841888117493,0.005372882888218,0.006451472535995,0.007866762813391,0.01014174893336,0.011400230255846
NAICS 515 Broadcasting (except Internet),0.003744177451445,0.004077835447832,0.004508260338027,0.004730619476295,0.005129130139327,0.004545647671719,0.004463921021359,0.003241877763768,0.004053720105086,0.005913835320682,0.00526667645783,0.005740311498543,0.007498035443222,0.008328870616297,0.008419365183911,0.007691900864035,0.00705718873193,0.007221532002407
NAICS 511 Publishing Industries,0.007650426696816,0.009314640959579,0.007396951891906,0.008752817574597,0.0072093396565,0.007460971144454,0.00641964663883,0.005188499750568,0.006494936658497,0.006827188050414,0.005690574981929,0.006091119001253,0.006550253717956,0.007056905764962,0.007157429779425,0.006806935429872,0.006235758031254,0.005857378835529
"NAICS 518 ISPs, Search Portals, & Data Processing	",0.001408249345626,0.001222652434692,0.001116041392699,0.001172969519784,0.001051498068037,0.001272385525389,0.000940830406301,0.001423329016392,0.001168333071625,0.000889191628907,0.000933125868225,0.000733109488934,0.000916440329153,0.001144757655448,0.001685613472525,0.00347125413949,0.002314708074174,0.002475842115513
NAICS 517 Telecommunications,0.002052594058087,0.001811175458899,0.002445453153365,0.003167524268048,0.001727848414761,0.001749322580999,0.001766873043785,0.001014478258955,0.000943738413875,0.001696329155402,0.001936219583029,0.002039133392569,0.001471615143056,0.001791489249492,0.001356140157102,0.002438922208299,0.003263619087432,0.002233003396457
All Other,-0.179138012085071,-0.179914889565227,-0.164724016138953,-0.15752891290541,-0.16907886217403,-0.174860718892001,-0.187340012392043,-0.198474522696453,-0.194553159128376,-0.171364770496244,-0.181448937827481,-0.183873537716523,-0.178687688512537,-0.180814159828295,-0.183947062139726,-0.179129363531995,-0.173630237367693,-0.180804486880439
