variables,year,data
"All Other",2000,-.17913801
"All Other",2001,-.17991489
"All Other",2002,-.16472402
"All Other",2003,-.15752891
"All Other",2004,-.16907886
"All Other",2005,-.17486072
"All Other",2006,-.18734001
"All Other",2007,-.19847452
"All Other",2008,-.19455316
"All Other",2009,-.17136477
"All Other",2010,-.18144894
"All Other",2011,-.18387354
"All Other",2012,-.17868769
"All Other",2013,-.18081416
"All Other",2014,-.18394706
"All Other",2015,-.17912936
"All Other",2016,-.17363024
"All Other",2017,-.18080449
"NAICS 511 Publishing Industries",2000,.00765043
"NAICS 511 Publishing Industries",2001,.00931464
"NAICS 511 Publishing Industries",2002,.00739695
"NAICS 511 Publishing Industries",2003,.00875282
"NAICS 511 Publishing Industries",2004,.00720934
"NAICS 511 Publishing Industries",2005,.00746097
"NAICS 511 Publishing Industries",2006,.00641965
"NAICS 511 Publishing Industries",2007,.0051885
"NAICS 511 Publishing Industries",2008,.00649494
"NAICS 511 Publishing Industries",2009,.00682719
"NAICS 511 Publishing Industries",2010,.00569057
"NAICS 511 Publishing Industries",2011,.00609112
"NAICS 511 Publishing Industries",2012,.00655025
"NAICS 511 Publishing Industries",2013,.00705691
"NAICS 511 Publishing Industries",2014,.00715743
"NAICS 511 Publishing Industries",2015,.00680694
"NAICS 511 Publishing Industries",2016,.00623576
"NAICS 511 Publishing Industries",2017,.00585738
"NAICS 515 Broadcasting (except Internet)",2000,.00374418
"NAICS 515 Broadcasting (except Internet)",2001,.00407784
"NAICS 515 Broadcasting (except Internet)",2002,.00450826
"NAICS 515 Broadcasting (except Internet)",2003,.00473062
"NAICS 515 Broadcasting (except Internet)",2004,.00512913
"NAICS 515 Broadcasting (except Internet)",2005,.00454565
"NAICS 515 Broadcasting (except Internet)",2006,.00446392
"NAICS 515 Broadcasting (except Internet)",2007,.00324188
"NAICS 515 Broadcasting (except Internet)",2008,.00405372
"NAICS 515 Broadcasting (except Internet)",2009,.00591384
"NAICS 515 Broadcasting (except Internet)",2010,.00526668
"NAICS 515 Broadcasting (except Internet)",2011,.00574031
"NAICS 515 Broadcasting (except Internet)",2012,.00749804
"NAICS 515 Broadcasting (except Internet)",2013,.00832887
"NAICS 515 Broadcasting (except Internet)",2014,.00841937
"NAICS 515 Broadcasting (except Internet)",2015,.0076919
"NAICS 515 Broadcasting (except Internet)",2016,.00705719
"NAICS 515 Broadcasting (except Internet)",2017,.00722153
"NAICS 517 Telecommunications",2000,.00205259
