year	debt_gdp_cbo
1968	32.2
1969	28.3
1970	27.0
1971	27.1
1972	26.4
1973	25.1
1974	23.1
1975	24.5
1976	26.7
1977	27.1
1978	26.6
1979	24.9
1980	25.5
1981	25.2
1982	27.9
1983	32.1
1984	33.1
1985	35.3
1986	38.4
1987	39.5
1988	39.8
1989	39.3
1990	40.8
1991	44.0
1992	46.6
1993	47.8
1994	47.7
1995	47.5
1996	46.8
1997	44.5
1998	41.6
1999	38.2
2000	33.6
2001	31.4
2002	32.6
2003	34.5
2004	35.5
2005	35.6
2006	35.3
2007	35.2
2008	39.3
2009	52.3
2010	60.9
2011	65.9
2012	70.4
2013	72.6
2014	74.1
2015	72.9
2016	76.7
2017	76.468
2018	78.037
2019	79.307
2020	80.909
2021	83.062
2022	85.679
2023	87.884
2024	89.637
2025	91.514
2026	93.141
2027	94.455
2028	96.202
