Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,0.543,0.563,0.605,0.639,0.686,0.744,0.815,0.862,0.943,1.02,1.08,1.17,1.28,1.43,1.55,1.69,1.88,2.09,2.36,2.63,2.86,3.21,3.34,3.64,4.04,4.35,4.59,4.87,5.25,5.66,5.98,6.17,6.54,6.88,7.31,7.66,8.1,8.61,9.09,9.66,10.3,10.6,11,11.5,12.3,13.1,13.9,14.5,14.7,14.4,15,15.5,16.2,16.7,17.4,18.1,18.6,19.4
China,0.059716468,0.050056869,0.047209359,0.0507068,0.059708343,0.070436266,0.076720286,0.072881631,0.070846535,0.079705906,0.092602973,0.099800959,0.114,0.139,0.144,0.163,0.154,0.175,0.15,0.178,0.191,0.196,0.205,0.231,0.26,0.309,0.301,0.273,0.312,0.348,0.361,0.383,0.427,0.445,0.564,0.735,0.864,0.962,1.03,1.09,1.21,1.34,1.47,1.66,1.96,2.29,2.75,3.55,4.6,5.11,6.1,7.57,8.56,9.61,10.5,11.1,11.2,12.2
Japan,0.044307343,0.053508618,0.060723019,0.069498132,0.081749006,0.090950278,0.106,0.124,0.147,0.172,0.213,0.24,0.318,0.432,0.48,0.522,0.586,0.721,1.01,1.06,1.11,1.22,1.13,1.24,1.32,1.4,2.08,2.53,3.07,3.05,3.13,3.58,3.91,4.45,4.91,5.45,4.83,4.41,4.03,4.56,4.89,4.3,4.12,4.45,4.82,4.76,4.53,4.52,5.04,5.23,5.7,6.16,6.2,5.16,4.85,4.39,4.95,4.87
Germany,0,0,0,0,0,0,0,0,0,0,0.215,0.249,0.299,0.397,0.444,0.489,0.518,0.598,0.738,0.878,0.947,0.797,0.774,0.768,0.722,0.73,1.04,1.29,1.4,1.39,1.76,1.86,2.12,2.07,2.21,2.59,2.5,2.22,2.24,2.2,1.95,1.95,2.08,2.51,2.82,2.86,3,3.44,3.75,3.42,3.42,3.76,3.54,3.75,3.89,3.38,3.48,3.68
United Kingdom,0.072328047,0.076694361,0.08060194,0.085443767,0.093387599,0.101,0.107,0.111,0.105,0.113,0.131,0.148,0.17,0.193,0.206,0.242,0.233,0.263,0.336,0.439,0.565,0.541,0.515,0.49,0.461,0.489,0.601,0.745,0.91,0.927,1.09,1.14,1.18,1.06,1.14,1.34,1.41,1.55,1.64,1.67,1.65,1.62,1.77,2.04,2.4,2.52,2.69,3.07,2.89,2.38,2.44,2.62,2.66,2.74,3.02,2.89,2.65,2.62
India,0.036535925,0.038709096,0.04159907,0.047776001,0.055726873,0.058760425,0.045253641,0.049466169,0.052377324,0.05766833,0.061589801,0.066452562,0.070509913,0.084374542,0.098198277,0.097159222,0.101,0.12,0.135,0.151,0.184,0.191,0.198,0.215,0.209,0.229,0.246,0.275,0.293,0.292,0.317,0.267,0.284,0.276,0.323,0.355,0.388,0.41,0.416,0.453,0.462,0.479,0.508,0.6,0.7,0.809,0.92,1.2,1.19,1.32,1.66,1.82,1.83,1.86,2.04,2.1,2.27,2.6
France,0.062651475,0.068346742,0.076313782,0.085551114,0.094906593,0.102,0.111,0.119,0.13,0.141,0.148,0.166,0.203,0.264,0.286,0.361,0.372,0.41,0.507,0.614,0.701,0.616,0.585,0.56,0.531,0.553,0.771,0.934,1.02,1.03,1.27,1.27,1.4,1.32,1.39,1.6,1.61,1.45,1.5,1.49,1.36,1.38,1.49,1.84,2.12,2.2,2.32,2.66,2.92,2.69,2.64,2.86,2.68,2.81,2.85,2.44,2.47,2.58
Brazil,0.01516557,0.015236855,0.019926294,0.023021477,0.021211892,0.021790035,0.027062717,0.030591834,0.033875882,0.037458898,0.0423276,0.049204457,0.058539009,0.079279058,0.105,0.124,0.153,0.176,0.201,0.225,0.235,0.264,0.282,0.203,0.209,0.223,0.268,0.294,0.33,0.426,0.462,0.603,0.401,0.438,0.558,0.769,0.85,0.883,0.864,0.599,0.655,0.559,0.508,0.558,0.669,0.892,1.11,1.4,1.7,1.67,2.21,2.62,2.47,2.47,2.46,1.8,1.79,2.06
Italy,0.040385288,0.04484276,0.050383892,0.057710743,0.063175417,0.067978154,0.07365487,0.08113312,0.087942232,0.097085083,0.113,0.124,0.145,0.175,0.199,0.227,0.224,0.257,0.314,0.392,0.476,0.429,0.426,0.442,0.436,0.451,0.638,0.803,0.889,0.926,1.18,1.24,1.32,1.06,1.1,1.17,1.31,1.24,1.27,1.25,1.14,1.16,1.27,1.57,1.8,1.85,1.94,2.2,2.39,2.19,2.13,2.28,2.07,2.13,2.15,1.83,1.86,1.93
Canada,0.041093454,0.040767969,0.041978852,0.044657169,0.048882939,0.05390957,0.060358632,0.064768831,0.070759032,0.07788751,0.087896095,0.099271961,0.113,0.131,0.16,0.174,0.207,0.212,0.219,0.243,0.274,0.306,0.314,0.341,0.355,0.365,0.377,0.431,0.507,0.565,0.594,0.61,0.592,0.577,0.578,0.604,0.629,0.653,0.632,0.676,0.742,0.736,0.758,0.892,1.02,1.17,1.32,1.46,1.55,1.37,1.61,1.79,1.82,1.84,1.8,1.56,1.54,1.65
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5065,0.516814,0.517963,0.460291,0.435084,0.395077,0.395531,0.39172,0.404927,0.270953,0.195906,0.259708,0.306603,0.34511,0.430348,0.591017,0.764017,0.989931,1.29971,1.66084,1.22264,1.52492,2.05166,2.21026,2.29713,2.06366,1.3684,1.28473,1.57752
"Korea, Rep.",0.003957874,0.002417238,0.002813934,0.003988246,0.003458518,0.003120308,0.003928171,0.004854576,0.00611726,0.007675805,0.008999227,0.009889961,0.01084222,0.013841886,0.019482038,0.021704752,0.029779339,0.038265083,0.05170062,0.066567975,0.064980821,0.072425591,0.077773431,0.087024428,0.096597434,0.100273,0.115537,0.146133,0.196964,0.243526,0.279349,0.325734,0.350051,0.386303,0.455603,0.556131,0.598099,0.557503,0.374241,0.485248,0.561633,0.533052,0.60902,0.680521,0.764881,0.898137,1.0118,1.12268,1.00222,0.901935,1.0945,1.20246,1.22281,1.3056,1.41133,1.38276,1.4148,1.53075
Australia,0.018573188,0.019648337,0.019888005,0.021501848,0.02375854,0.025931235,0.027261731,0.030389741,0.032657632,0.036620002,0.041261059,0.045138313,0.051954439,0.063721973,0.088809138,0.097147344,0.104895,0.110174,0.118309,0.134679,0.149738,0.176599,0.193722,0.176986,0.193194,0.180191,0.181977,0.189041,0.2357,0.299318,0.310838,0.325358,0.324878,0.311529,0.322201,0.367216,0.400303,0.434568,0.398899,0.388395,0.415034,0.378215,0.394487,0.466295,0.611904,0.692642,0.745522,0.851963,1.05258,0.926448,1.14426,1.39428,1.54341,1.5737,1.46496,1.34903,1.20804,1.32342
Spain,0.012072126,0.013834301,0.016138545,0.019074914,0.021343845,0.024756959,0.028721062,0.031647119,0.031475548,0.036038712,0.040881655,0.046492797,0.058971807,0.078425935,0.0970098,0.114465,0.118185,0.13209,0.160163,0.214019,0.232135,0.202257,0.195464,0.170487,0.171635,0.180302,0.250638,0.317882,0.375139,0.413631,0.535101,0.575599,0.629202,0.523649,0.529122,0.61294,0.640998,0.588692,0.617042,0.633194,0.595403,0.625976,0.705146,0.906853,1.06956,1.15728,1.26455,1.47934,1.63502,1.4991,1.43162,1.48807,1.33602,1.36185,1.37691,1.19779,1.23726,1.31132
Mexico,0.01304,0.01416,0.0152,0.01696,0.02008,0.02184,0.02432,0.02656,0.02936,0.03248,0.03552,0.0392,0.0452,0.05528,0.072,0.088,0.089025974,0.081814159,0.1025,0.134561,0.194348,0.250082,0.173723,0.148868,0.175632,0.184473,0.129441,0.140263,0.183144,0.222977,0.26271,0.314454,0.363609,0.500736,0.527813,0.360074,0.410976,0.500413,0.526502,0.600233,0.707907,0.756706,0.772106,0.729336,0.782241,0.877476,0.975387,1.0527,1.10999,0.900045,1.0578,1.18049,1.20109,1.27444,1.31439,1.16962,1.07691,1.14992
Indonesia,0,0,0,0,0,0,0,0.005667757,0.007076465,0.008337423,0.009150685,0.009333536,0.01099759,0.016273253,0.02580241,0.030463855,0.037269157,0.045808916,0.051455719,0.051400186,0.072482337,0.085518233,0.090158449,0.081052283,0.0848537,0.085289492,0.079954073,0.075929618,0.084300174,0.094451428,0.106141,0.116622,0.128027,0.158007,0.176892,0.202132,0.22737,0.215749,0.095445548,0.140001,0.165021,0.160447,0.195661,0.234772,0.256837,0.285869,0.364571,0.432217,0.510229,0.53958,0.755094,0.892969,0.91787,0.912524,0.890815,0.860854,0.932256,1.01554
Turkey,0.013995068,0.008022222,0.008922222,0.010355556,0.011177778,0.011944444,0.014122222,0.015666667,0.0175,0.019466667,0.017086957,0.01625662,0.020431095,0.025724382,0.035599914,0.044633707,0.051280135,0.058676814,0.065147022,0.089394086,0.06878929,0.07104002,0.064546333,0.06167828,0.059989909,0.067234948,0.07572801,0.08717279,0.090852814,0.107143,0.150676,0.150028,0.158459,0.18017,0.13069,0.169486,0.181476,0.189835,0.275769,0.255884,0.272979,0.200252,0.238428,0.311823,0.404787,0.501416,0.552487,0.67577,0.764336,0.64464,0.771902,0.832524,0.873982,0.950579,0.934186,0.859797,0.863722,0.851102
Netherlands,0.012276734,0.013493834,0.014647057,0.015891241,0.018699381,0.021000587,0.022867203,0.025087562,0.027817606,0.031503869,0.037677622,0.04401016,0.054008339,0.070924006,0.086129928,0.098970041,0.107775,0.125396,0.15387,0.177376,0.192661,0.162039,0.156457,0.151487,0.142076,0.14201,0.198298,0.241919,0.258568,0.25504,0.314268,0.32332,0.35833,0.349038,0.374291,0.446529,0.445705,0.412199,0.432476,0.441975,0.412807,0.426574,0.465369,0.571863,0.650533,0.678534,0.726649,0.83942,0.936228,0.857933,0.83639,0.893757,0.828947,0.86668,0.879635,0.757999,0.777228,0.8262
