Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Japan,94.7438,101.0199,110.3448,120.3518,132.8482,142.6464,148.8677,159.102,168.8736,175.4419,176.1969,176.183,177.7124,181.5641,202.7732,207.5221,222.3113,230.3869,233.2241,238.4595,237.3919,234.5488
Greece,97.84429,98.98184,95.69253,94.08017,96.75497,111.6979,115.2994,116.6336,109.8932,114.3387,115.8159,115.2277,112.7846,117.449,135.0054,128.9748,110.907,164.1071,179.6891,180.8163,182.9426,185.7925
Italy,121.2345,127.1257,128.6661,129.5762,123.7423,118.9894,118.1363,116.9578,114.2859,114.6943,117.4323,115.0135,110.6964,112.9941,125.9787,124.8795,117.9357,136.2351,143.6861,156.0584,157.0335,154.9009
Portugal,67.48737,68.03526,66.03267,65.31093,62.45652,62.01825,63.45905,66.81219,70.61915,76.65156,79.97653,79.40868,78.10067,82.76154,96.11205,104.0708,107.8454,137.1043,141.4286,151.4001,149.1519,145.3244
United States,93.71502,91.18478,86.10175,81.56144,76.16102,72.12884,74.78979,80.40752,81.8537,88.83294,88.5644,85.92424,86.34559,102.3392,115.7761,125.8492,130.9783,132.6898,136.276,135.5952,136.5977,138.5057
Belgium,140.3708,142.2443,136.8281,138.0175,126.6721,120.5397,119.2406,118.4241,114.8479,110.4701,108.3034,100.3739,94.14143,101.4708,109.8433,107.9802,110.6022,120.4748,118.4776,131.1118,127.6674,128.4397
France,67.29042,73.29137,75.95255,77.6053,74.01518,72.42918,71.47308,75.16156,79.07757,80.54945,82.14224,77.26933,75.94181,82.50349,97.5731,100.9953,103.8066,111.9382,112.4676,120.1551,120.8252,125.4641
United Kingdom,48.79249,48.12017,47.18569,48.51126,43.32925,44.90339,42.47589,45.4344,45.00502,48.46213,48.75006,47.83198,49.66492,62.26696,75.45988,86.56003,100.3075,104.1123,99.9242,109.9197,109.4453,119.3808
Canada,124.3585,130.4724,124.3579,123.8997,114.2691,105.4222,105.2199,103.986,99.65713,95.72514,94.20788,91.41594,87.16206,89.97141,103.0748,105.2244,107.8826,111.5424,107.5053,108.5417,114.7455,114.127
Germany,54.12364,57.1987,58.66096,60.54865,60.46196,59.51911,58.75711,61.20459,64.5843,67.53011,70.06332,68.25689,64.18327,68.08314,75.47145,84.45005,84.18228,88.10569,83.27205,83.34541,78.96413,76.01376
