state_name,cohort_mean
"Alaska",.379
"Nevada",.395
"Michigan",.457
"Washington",.458
"Florida",.458
"Arizona",.462
"Illinois",.47
"Vermont",.474
"Oregon",.477
"Ohio",.479
"Virginia",.479
"Georgia",.482
"Indiana",.484
"California",.488
"Wyoming",.49
"Idaho",.492
"South Carolina",.494
"Tennessee",.496
"Kansas",.497
"North Carolina",.498
"West Virginia",.499
"Colorado",.499
"Hawaii",.5
"Maine",.501
"Texas",.505
"Wisconsin",.506
"New Mexico",.509
"New Hampshire",.51
"Oklahoma",.512
"Maryland",.512
"Delaware",.514
"Connecticut",.518
"Alabama",.519
"Missouri",.524
"New Jersey",.525
"Minnesota",.529
"Mississippi",.531
"Utah",.531
"Louisiana",.532
"Kentucky",.534
"Pennsylvania",.539
"Iowa",.54
"Rhode Island",.544
"New York",.547
"Nebraska",.549
"Massachusetts",.554
"Arkansas",.56
"Montana",.586
"North Dakota",.594
"South Dakota",.623
"District of Columbia",.662
