Macrotrends Data Download,
,
S&amp;P 500 PE Ratio - 90 Year Historical Chart,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
12/1/27,15.9099
1/1/28,14.8898
2/1/28,14.6271
3/1/28,16.339
4/1/28,15.8
5/1/28,16
6/1/28,15.312
7/1/28,14.8321
8/1/28,15.9313
9/1/28,16.1374
10/1/28,15.7101
11/1/28,17.5942
12/1/28,17.6449
1/1/29,17.875
2/1/29,17.7708
3/1/29,17.7292
4/1/29,17.2933
5/1/29,16.5533
6/1/29,18.2733
7/1/29,18.6323
8/1/29,20.4581
9/1/29,19.4581
10/1/29,15
11/1/29,12.9938
12/1/29,13.323
1/1/30,15.7172
2/1/30,16.0552
3/1/30,16.6552
4/1/30,19.3023
5/1/30,18.9845
6/1/30,15.8605
7/1/30,18.7699
8/1/30,18.9115
9/1/30,16.4513
10/1/30,17.4639
11/1/30,17.0825
12/1/30,15.8144
1/1/31,18.2841
2/1/31,20.375
3/1/31,18.9659
4/1/31,19.1013
5/1/31,16.481
6/1/31,18.7722
7/1/31,19.6143
8/1/31,19.8
9/1/31,13.8714
10/1/31,17.2623
11/1/31,15.5738
12/1/31,13.3115
1/1/32,14.0893
2/1/32,14.8036
3/1/32,13.0536
4/1/32,11.4314
5/1/32,8.7647
6/1/32,8.6863
7/1/32,13.2609
8/1/32,18.2391
9/1/32,17.5652
10/1/32,16.9756
11/1/32,15.9756
12/1/32,16.8049
1/1/33,16.5238
2/1/33,13.4762
3/1/33,13.9286
4/1/33,19.3488
5/1/33,22.4186
6/1/33,25.3721
7/1/33,23.1395
8/1/33,25.7907
9/1/33,22.8605
10/1/33,20.3636
11/1/33,22.4545
12/1/33,22.9545
1/1/34,24.8222
2/1/34,23.9111
3/1/34,23.8889
4/1/34,22.2553
5/1/34,20.4468
6/1/34,20.8723
7/1/34,18.0833
8/1/34,19.0625
9/1/34,18.9583
10/1/34,17.9796
11/1/34,19.4694
12/1/34,19.3878
1/1/35,12.4658
2/1/35,11.9726
3/1/35,11.6027
4/1/35,11.4568
5/1/35,11.8272
6/1/35,12.6296
7/1/35,14.5789
8/1/35,14.8947
9/1/35,15.25
10/1/35,16.3947
11/1/35,17.0395
12/1/35,17.6711
1/1/36,18.1139
2/1/36,18.4177
3/1/36,18.8861
4/1/36,15.6477
5/1/36,16.3636
6/1/36,16.8636
7/1/36,16.8617
8/1/36,17.0106
9/1/36,17.0319
10/1/36,16.8725
11/1/36,16.9412
12/1/36,16.8431
1/1/37,16.0631
2/1/37,16.2973
3/1/37,16.1441
4/1/37,14.0427
5/1/37,13.8974
6/1/37,13.1624
7/1/37,13.918
8/1/37,13.1475
9/1/37,11.2787
10/1/37,10.9381
11/1/37,9.8319
12/1/37,9.3363
1/1/38,11.0206
2/1/38,11.6907
3/1/38,8.7629
4/1/38,12.5974
5/1/38,12.039
6/1/38,15.013
7/1/38,20
8/1/38,19.4516
9/1/38,19.7419
10/1/38,20.5781
11/1/38,19.8906
12/1/38,20.6406
1/1/39,17.3239
2/1/39,17.8873
3/1/39,15.4648
4/1/39,14.3684
5/1/39,15.2632
6/1/39,14.2895
7/1/39,14.8642
8/1/39,13.8025
9/1/39,16.0741
10/1/39,14.2556
11/1/39,13.5556
12/1/39,13.8778
1/1/40,12.1717
2/1/40,12.2525
3/1/40,12.3737
4/1/40,11.7212
5/1/40,8.9135
6/1/40,9.5962
7/1/40,9.5278
8/1/40,9.7778
9/1/40,9.8704
10/1/40,10.5524
11/1/40,10.1048
12/1/40,10.0762
